sigma      alpha
  0.500000 0.000000 
  1.000000 0.000000 
  1.500000 0.000000 
  2.000000 0.000000 
  2.500000 0.000000 
  3.000000 0.000000 
  3.500000 0.000000 
  4.000000 0.000000 
  4.500000 0.000000 
  5.000000 0.000500 
  5.500000 0.002300 
  6.000000 0.003200 
  6.500000 0.006700 
  7.000000 0.017000 
  7.500000 0.022800 
  8.000000 0.028600 
  8.500000 0.046500 
  9.000000 0.062100 
  9.500000 0.072400 
 10.000000 0.096700 
 12.000000 0.191600 
 14.000000 0.282300 
 16.000000 0.382300 
 18.000000 0.462300 
 20.000000 0.528000 
 22.000000 0.570000 
 24.000000 0.610100 
 26.000000 0.646200 
 28.000000 0.671400 
 30.000000 0.706500 
 32.000000 0.735000 
 34.000000 0.732500 
 36.000000 0.773400 
 38.000000 0.770200 
 40.000000 0.789000 
 42.000000 0.803700 
 44.000000 0.802900 
 46.000000 0.819400 
 48.000000 0.814600 
 50.000000 0.824100 
 52.000000 0.827000 
 54.000000 0.835900 
 56.000000 0.839400 
 58.000000 0.838000 
 60.000000 0.855000 
 65.000000 0.856200 
 70.000000 0.851300 
 75.000000 0.860400 
 80.000000 0.867300 
 85.000000 0.879100 
 90.000000 0.875500 
 95.000000 0.877500 
100.000000 0.883900 
